,accuracy,precision,recall,f1,roc_auc,average_precision
Logistic Regression,0.7293018515372856,0.714223665144305,0.6292821318960999,0.6688406267578861,0.7987838862820649,0.7708411184747543
Random Forest,0.718362776739709,0.6981200034871198,0.6227457144995883,0.6579885962758963,0.78908117610442,0.7605980057191919
HistGradientBoosting,0.720503935224506,0.7017597097181005,0.6243880529979788,0.660117219949085,0.7837203225895415,0.7545965199347137
