k,inertia,silhouette_score
2,11943.682179623262,0.40880584647442275
3,9067.033684541746,0.3123137311012099
4,7594.56157341697,0.31059739181507656
5,6584.136069090025,0.2720305631029501
6,5906.21033591512,0.25631357126082166
7,5328.526921250703,0.2580534003909133
8,4956.399291540397,0.2455834151747097
9,4662.957589231412,0.2520313337350711
10,4387.003182227438,0.24215118639269514
